date,price
1524887100,9118.21210959
1524887400,9126.39408752
1524887700,9135.13432705
1524888000,9150.0
1524888300,9135.11210965
1524888600,9135.11210965
1524888900,9149.01819013
1524889200,9145.99298219
1524889500,9153.9277826
1524889800,9134.08528855
1524890100,9148.46554655
1524890400,9150.0
1524890700,9135.0
1524891000,9060.39696624
1524891300,9125.33
1524891600,9149.99999909
1524891900,9142.80206642
1524892200,9161.37443542
1524892500,9162.00000016
1524892800,9174.0
1524893100,9157.92269764
1524893400,9150.0
1524893700,9139.89000051
1524894000,9135.8641367
1524894300,9152.49882708
1524894600,9145.00000043
1524894900,9150.00000018
1524895200,9155.02427249
1524895500,9177.163118
1524895800,9171.58996998
1524896100,9171.56569743
1524896400,9183.99999986
1524896700,9156.02427181
1524897000,9178.99278594
1524897300,9175.0
1524897600,9190.66056843
1524897900,9204.91
1524898200,9182.02427237
1524898500,9155.76036341
1524898800,9139.99999998
1524899100,9131.00000001
1524899400,9159.99999999
1524899700,9154.95351079
1524900000,9155.0
1524900300,9150.54572819
1524900600,9121.83964754
1524900900,9138.90541326
1524901200,9143.99999967
1524901500,9121.84
1524901800,9153.02968512
1524902100,9144.80832495
1524902400,9121.90870663
1524902700,9087.71830968
1524903000,9099.97572809
1524903300,9099.0
1524903600,9104.80569897
1524903900,9099.97602819
1524904200,9220.0
1524904500,9280.0
1524904800,9321.0
1524905100,9307.0907833
1524905400,9288.3765
1524905700,9247.62187626
1524906000,9201.0
1524906300,9216.33441425
1524906600,9205.0
1524906900,9182.10484465
1524907200,9214.92438662
1524907500,9257.4757894
1524907800,9254.0
1524908100,9277.20744924
1524908400,9278.99999962
1524908700,9266.99613505
1524909000,9267.00357878
1524909300,9261.22749165
1524909600,9277.0
1524909900,9288.03147197
1524910200,9278.05250535
1524910500,9278.0
1524910800,9278.26067995
1524911100,9259.3
1524911400,9265.00000002
1524911700,9264.9555647
1524912000,9243.99999988
1524912300,9243.93129323
1524912600,9264.0
1524912900,9263.953828
1524913200,9270.68483543
1524913500,9249.99999998
1524913800,9239.82226019
1524914100,9235.82226005
1524914400,9264.69908498
1524914700,9230.16623513
1524915000,9239.48942537
1524915300,9210.0
1524915600,9239.99096557
1524915900,9227.9777826
1524916200,9220.955566
1524916500,9212.0
1524916800,9258.3313532
1524917100,9240.0000004
1524917400,9264.58593105
1524917700,9279.0
1524918000,9301.0
1524918300,9339.0
1524918600,9359.06844505
1524918900,9377.99999983
1524919200,9369.01751142
1524919500,9369.99999999
1524919800,9380.0
1524920100,9369.69999976
1524920400,9350.56570785
1524920700,9375.0
1524921000,9385.0
1524921300,9385.43003449
1524921600,9374.62537483
1524921900,9389.0
1524922200,9373.0
1524922500,9373.0
1524922800,9363.11519596
1524923100,9345.04443481
1524923400,9379.0
1524923700,9384.0
1524924000,9400.0
1524924300,9409.99999992
1524924600,9425.0
1524924900,9414.69679269
1524925200,9409.92923878
1524925500,9409.48727296
1524925800,9408.95556508
1524926100,9335.02427195
1524926400,9320.88797018
1524926700,9297.95621296
1524927000,9325.68891209
1524927300,9310.09310019
1524927600,9292.75556518
1524927900,9259.0222174
1524928200,9262.00000023
1524928500,9279.97778346
1524928800,9281.6183389
1524929100,9281.96598083
1524929400,9302.9999993
1524929700,9318.99999999
1524930000,9321.02221741
1524930300,9337.99999988
1524930600,9330.0
1524930900,9349.78944294
1524931200,9379.0
1524931500,9330.02221744
1524931800,9352.13535866
1524932100,9359.99999917
1524932400,9379.9999997
1524932700,9378.62940563
1524933000,9340.35928867
1524933300,9276.8
1524933600,9289.00000032
1524933900,9273.02221741
1524934200,9310.0
1524934500,9324.95351033
1524934800,9339.99999999
1524935100,9330.0
1524935400,9338.9999994
